144,Athletics - high jump - W,6
145,Athletics - 50km walk - M,6
146,Athletics - 80m hurdles - W,6
147,Athletics - javelin throw - W,6
148,Athletics - 200m - W,6
149,Athletics - long jump - W,6
150,Athletics - shot put - W,6
151,Athletics - 20km walk - M,6
152,Athletics - 400m - W,6
153,Athletics - pentathlon - W,6
154,Athletics - 100m hurdles - W,6
155,Athletics - 1500m - W,6
156,Athletics - 4x400m relay - W,6
157,Athletics - 3000m - W,6
158,Athletics - 400m hurdles - W,6
159,Athletics - heptathlon - W,6
160,Athletics - marathon - W,6
161,Athletics - 10000m - W,6
162,Athletics - 10000m walk - W,6
163,Athletics - 5000m - W,6
164,Athletics - triple jump - W,6
165,Athletics - 20km race walk - W,6
166,Athletics - hammer throw - W,6
167,Athletics - pole vault - W,6
168,Athletics - 3000m steeplechase - W,6
169,Badminton - doubles - M,7
170,Badminton - doubles - W,7
171,Badminton - singles - M,7
172,Badminton - singles - W,7
173,Badminton - doubles - X,7
174,Baseball - baseball - M,8
175,Basketball - basketball - M,9
176,Basketball - basketball - W,9
177,Basque Pelota - cesta punta - M,10
178,Boxing - - 47.63kg (flyweight) - M,11
179,Boxing - + 71.67kg (heavyweight) - M,11
180,Boxing - 47.63 - 52.16kg (bantamweight) - M,11
181,Boxing - 52.16 - 56.7kg (featherweight) - M,11
182,Boxing - 56.7 - 61.24kg (lightweight) - M,11
183,Boxing - 61.24 - 65.77kg (welterweight) - M,11
184,Boxing - 65.77 - 71.67kg (middleweight) - M,11
185,Boxing - - 52.62kg (bantamweight) - M,11
186,Boxing - 52.62 - 57.15kg (featherweight) - M,11
187,Boxing - 57.15 - 63.5kg (lightweight) - M,11
188,Boxing - 63.5 - 71.67kg (middleweight) - M,11
189,Boxing - - 50.8kg (flyweight) - M,11
190,Boxing - + 79.38kg (heavyweight) - M,11
191,Boxing - 50.8 - 53.52kg (bantamweight) - M,11
192,Boxing - 53.52 - 57.15kg (featherweight) - M,11
193,Boxing - 57.15 - 61.24kg (lightweight) - M,11
194,Boxing - 61.24 - 66.68kg (welterweight) - M,11
195,Boxing - 66.68 - 72.57kg (middleweight) - M,11
196,Boxing - 72.57 - 79.38kg (light-heavyweight) - M,11
197,Boxing - 50.8 - 54kg (bantamweight) - M,11
198,Boxing - 54 - 57.15kg (featherweight) - M,11
199,Boxing - - 51kg (flyweight) - M,11
200,Boxing - + 80kg (heavyweight) - M,11
201,Boxing - 51 - 54kg (bantamweight) - M,11
202,Boxing - 54 - 58kg (featherweight) - M,11
203,Boxing - 58 - 62kg (lightweight) - M,11
204,Boxing - 62 - 67kg (welterweight) - M,11
205,Boxing - 67 - 73kg (middleweight) - M,11
206,Boxing - 73 - 80kg (light-heavyweight) - M,11
207,Boxing - + 81kg (heavyweight) - M,11
208,Boxing - 54 - 57kg (featherweight) - M,11
209,Boxing - 57 - 60kg (lightweight) - M,11
210,Boxing - 60 - 63.5kg (light-welterweight) - M,11
211,Boxing - 63.5 - 67kg (welterweight) - M,11
